,yaw
920,0.19768
921,0.19244
922,0.18434
923,0.17365
924,0.16069
925,0.14585
926,0.12961
927,0.11245
928,0.094913
929,0.07753
930,0.060838
931,0.045354
932,0.031553
933,0.01986
934,0.010637
935,0.0041662
936,0.00064824
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,-2.03E-07
1002,-0.0058143
1003,-0.023002
1004,-0.051034
1005,-0.089047
1006,-0.13587
1007,-0.19006
1008,-0.24995
1009,-0.31369
1010,-0.37932
1011,-0.44481
1012,-0.50816
1013,-0.5674
1014,-0.62071
1015,-0.66646
1016,-0.70323
1017,-0.72988
1018,-0.7456
1019,-0.74991
1020,-0.74266
1021,-0.72409
1022,-0.69476
1023,-0.65558
1024,-0.60776
1025,-0.55276
1026,-0.49229
1027,-0.42821
1028,-0.36249
1029,-0.29715
1030,-0.23421
1031,-0.17561
1032,-0.12315
1033,-0.078451
1034,-0.042887
1035,-0.017555
1036,-0.0032349
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,-0.0018875
1103,-0.0083164
1104,-0.01911
1105,-0.033937
1106,-0.052339
1107,-0.073749
1108,-0.097509
1109,-0.12289
1110,-0.1491
1111,-0.17534
1112,-0.2008
1113,-0.22469
1114,-0.24629
1115,-0.26491
1116,-0.28
1117,-0.29108
1118,-0.29782
1119,-0.3
1120,-0.29756
1121,-0.29057
1122,-0.27926
1123,-0.26396
1124,-0.24515
1125,-0.22341
1126,-0.19941
1127,-0.17388
1128,-0.14762
1129,-0.12143
1130,-0.096128
1131,-0.072481
1132,-0.051222
1133,-0.033007
1134,-0.018395
1135,-0.0078383
1136,-0.0016611
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0.00037367
1203,0.0018689
1204,0.0044618
1205,0.0080725
1206,0.01259
1207,0.017875
1208,0.023764
1209,0.030077
1210,0.036618
1211,0.043186
1212,0.049579
1213,0.055601
1214,0.061064
1215,0.065802
1216,0.069667
1217,0.072542
1218,0.074337
1219,0.074997
1220,0.074502
1221,0.072867
1222,0.070142
1223,0.066412
1224,0.061791
1225,0.056422
1226,0.05047
1227,0.044118
1228,0.037562
1229,0.031005
1230,0.024647
1231,0.018686
1232,0.013304
1233,0.0086672
1234,0.0049191
1235,0.0021746
1236,0.00051844
1237,0
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0
1256,0
1257,0
1258,0
1259,0
1260,0
1261,0
1262,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,0
1287,0
1288,0
1289,0
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0.0011475
1303,0.0066782
1304,0.016624
1305,0.030679
1306,0.048411
1307,0.069272
1308,0.09262
1309,0.11774
1310,0.14385
1311,0.17014
1312,0.19582
1313,0.22009
1314,0.2422
1315,0.26147
1316,0.2773
1317,0.28921
1318,0.29683
1319,0.29993
1320,0.29841
1321,0.29232
1322,0.28184
1323,0.2673
1324,0.24915
1325,0.22794
1326,0.20434
1327,0.17905
1328,0.15288
1329,0.12661
1330,0.10106
1331,0.077027
1332,0.055237
1333,0.036367
1334,0.020997
1335,0.0096018
1336,0.0025319
1337,5.11E-06
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,0
1356,0
1357,0
1358,0
1359,0
1360,0
1361,0
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0
1400,0
1401,0
1402,0.00084598
1403,0.0059249
1404,0.015443
1405,0.029106
1406,0.046493
1407,0.067069
1408,0.090201
1409,0.11517
1410,0.14122
1411,0.16754
1412,0.19331
1413,0.21776
1414,0.24011
1415,0.25969
1416,0.27589
1417,0.28821
1418,0.29627
1419,0.29983
1420,0.29877
1421,0.29313
1422,0.28308
1423,0.26892
1424,0.25111
1425,0.23018
1426,0.20678
1427,0.18163
1428,0.1555
1429,0.12921
1430,0.10356
1431,0.079334
1432,0.057288
1433,0.038099
1434,0.022358
1435,0.010548
1436,0.0030352
1437,4.98E-05
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,0
1448,0
1449,0
1450,0
1451,0
1452,0
1453,0
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,0
1472,0
1473,0
1474,0
1475,0
1476,0
1477,0
1478,0
1479,0
1480,0
1481,0
1482,0
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,0
1496,0
1497,0
1498,0
1499,0
1500,0
1501,0
1502,0.00039345
1503,0.0034773
1504,0.0095347
1505,0.018379
1506,0.029738
1507,0.043262
1508,0.058533
1509,0.075083
1510,0.092399
1511,0.10995
1512,0.12719
1513,0.1436
1514,0.15866
1515,0.17192
1516,0.18296
1517,0.19145
1518,0.19711
1519,0.19979
1520,0.19939
1521,0.19593
1522,0.18951
1523,0.18034
1524,0.16869
1525,0.15492
1526,0.13947
1527,0.12279
1528,0.10542
1529,0.087876
1530,0.070708
1531,0.054441
1532,0.039579
1533,0.026577
1534,0.015838
1535,0.0076917
1536,0.0023891
1537,9.37E-05
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,0
1545,0
1546,0
1547,0
1548,0
1549,0
1550,0
1551,0
1552,0
1553,0
1554,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0
1568,0
1569,0
1570,0
1571,0
1572,0
1573,0
1574,0
1575,0
1576,0
1577,0
1578,0
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,0
1590,0
1591,0
1592,0
1593,0
1594,0
1595,0
1596,0
1597,0
1598,0
1599,0
1600,0
1601,0
1602,-0.00025352
1603,-0.0030341
1604,-0.0088021
1605,-0.01738
1606,-0.028503
1607,-0.041828
1608,-0.056946
1609,-0.07339
1610,-0.090654
1611,-0.10821
1612,-0.1255
1613,-0.14202
1614,-0.15724
1615,-0.17069
1616,-0.18197
1617,-0.19072
1618,-0.19668
1619,-0.19966
1620,-0.19957
1621,-0.19641
1622,-0.19028
1623,-0.18137
1624,-0.16995
1625,-0.15638
1626,-0.14107
1627,-0.1245
1628,-0.10717
1629,-0.089617
1630,-0.072387
1631,-0.056008
1632,-0.040984
1633,-0.027778
1634,-0.016797
1635,-0.0083796
1636,-0.0027847
1637,-0.00018477
1638,0
1639,0
1640,0
1641,0
1642,0
1643,0
1644,0
1645,0
1646,0
1647,0
1648,0
1649,0
1650,0
1651,0
1652,0
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0
1666,0
1667,0
1668,0
1669,0
1670,0
1671,0
1672,0
1673,0
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,0
1692,0
1693,0
1694,0
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,0
1702,5.41E-05
1703,0.00098281
1704,0.0030366
1705,0.0061521
1706,0.010233
1707,0.015155
1708,0.020764
1709,0.02689
1710,0.033342
1711,0.039922
1712,0.046428
1713,0.052658
1714,0.058422
1715,0.063541
1716,0.067858
1717,0.071239
1718,0.073581
1719,0.074812
1720,0.074893
1721,0.073822
1722,0.071632
1723,0.06839
1724,0.064197
1725,0.059182
1726,0.053498
1727,0.047321
1728,0.040842
1729,0.03426
1730,0.027778
1731,0.021595
1732,0.015903
1733,0.010875
1734,0.0066681
1735,0.0034108
1736,0.0012038
1737,0.00011495
1738,0
1739,0
1740,0
1741,0
1742,0
1743,0
1744,0
1745,0
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0
1758,0
1759,0
1760,0
1761,0
1762,0
1763,0
1764,0
1765,0
1766,0
1767,0
1768,0
1769,0
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1785,0
1786,0
1787,0
1788,0
1789,0
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,2.46E-05
1803,0.00083902
1804,0.0027829
1805,0.0057964
1806,0.0097866
1807,0.014631
1808,0.020179
1809,0.026261
1810,0.03269
1811,0.039266
1812,0.045788
1813,0.052055
1814,0.057874
1815,0.063064
1816,0.067468
1817,0.070947
1818,0.073397
1819,0.074741
1820,0.074937
1821,0.07398
1822,0.071899
1823,0.068758
1824,0.064654
1825,0.059714
1826,0.05409
1827,0.047954
1828,0.041496
1829,0.034915
1830,0.028414
1831,0.022193
1832,0.016443
1833,0.011342
1834,0.0070467
1835,0.0036898
1836,0.0013744
1837,0.00017208
1838,0
1839,0
1840,0
1841,0
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,0
1861,0
1862,0
1863,0
1864,0
1865,0
1866,0
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,-0.00013076
1903,-0.014129
1904,-0.050798
1905,-0.10901
1906,-0.18697
1907,-0.28227
1908,-0.39198
1909,-0.51273
1910,-0.64078
1911,-0.7722
1912,-0.90293
1913,-1.029
1914,-1.1464
1915,-1.2516
1916,-1.3414
1917,-1.4129
1918,-1.464
1919,-1.4932
1920,-1.4994
1921,-1.4825
1922,-1.4431
1923,-1.3823
1924,-1.3021
1925,-1.2048
1926,-1.0935
1927,-0.97166
1928,-0.84297
1929,-0.71142
1930,-0.58105
1931,-0.45589
1932,-0.33979
1933,-0.23633
1934,-0.14869
1935,-0.079582
1936,-0.031124
1937,-0.0048131
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,3.39E-06
2003,0.010759
2004,0.041978
2005,0.0927
2006,0.16136
2007,0.24585
2008,0.34355
2009,0.45147
2010,0.56627
2011,0.68443
2012,0.80229
2013,0.91623
2014,1.0227
2015,1.1185
2016,1.2007
2017,1.2666
2018,1.3143
2019,1.3423
2020,1.3498
2021,1.3365
2022,1.3027
2023,1.2497
2024,1.1789
2025,1.0927
2026,0.99351
2027,0.88455
2028,0.76913
2029,0.65082
2030,0.53325
2031,0.42004
2032,0.31469
2033,0.22044
2034,0.1402
2035,0.076427
2036,0.031099
2037,0.0056071
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
2048,0
2049,0
2050,0
2051,0
2052,0
2053,0
2054,0
2055,0
2056,0
2057,0
2058,0
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0
2071,0
2072,0
2073,0
2074,0
2075,0
2076,0
2077,0
2078,0
2079,0
2080,0
2081,0
2082,0
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0
2095,0
2096,0
2097,0
2098,0
2099,0
2100,0
2101,0
2102,0
2103,0.0087583
2104,0.037971
2105,0.086809
2106,0.15377
2107,0.23679
2108,0.3333
2109,0.44035
2110,0.55462
2111,0.6726
2112,0.79066
2113,0.90515
2114,1.0126
2115,1.1096
2116,1.1932
2117,1.2608
2118,1.3104
2119,1.3405
2120,1.35
2121,1.3387
2122,1.307
2123,1.2558
2124,1.1867
2125,1.1019
2126,1.0039
2127,0.89576
2128,0.78083
2129,0.66264
2130,0.54483
2131,0.43103
2132,0.32475
2133,0.22925
2134,0.14749
2135,0.081984
2136,0.034745
2137,0.0072307
